Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered
Perak,Malaysia,1/25/2020 17:00,,,0,0,0
Perlis,Malaysia,1/25/2020 17:00,,,0,0,0
Pitcairn Islands,United Kingdom,1/25/2020 17:00,,,0,0,0
Pulau Pinang,Malaysia,1/25/2020 17:00,,,0,0,0
Qinghai,Mainland China,1/25/2020 17:00,,,1,,
Sabah,Malaysia,1/25/2020 17:00,,,0,0,0
Sarawak,Malaysia,1/25/2020 17:00,,,0,0,0
Scotland,United Kingdom,1/25/2020 17:00,,,0,0,0
Selangor,Malaysia,1/25/2020 17:00,,,0,0,0
Shaanxi,Mainland China,1/25/2020 17:00,,,15,,
Shandong,Mainland China,1/25/2020 17:00,,,27,,
Shanghai,Mainland China,1/25/2020 17:00,,,33,,1
Shanxi,Mainland China,1/25/2020 17:00,,,6,,
Sichuan,Mainland China,1/25/2020 17:00,,,28,,
Taiwan,Taiwan,1/25/2020 17:00,,,3,,
Terengganu,Malaysia,1/25/2020 17:00,,,0,0,0
Tianjin,Mainland China,1/25/2020 17:00,,,10,,
Unknown,China,1/25/2020 17:00,,,,,
Unknown,Malaysia,1/25/2020 17:00,,,0,0,0
Unknown,Ukraine,1/25/2020 17:00,,,0,0,0
Unknown,United Kingdom,1/25/2020 17:00,,,0,0,0
W.P. Kuala Lumpur,Malaysia,1/25/2020 17:00,,,0,0,0
W.P. Labuan,Malaysia,1/25/2020 17:00,,,0,0,0
W.P. Putrajaya,Malaysia,1/25/2020 17:00,,,0,0,0
Wales,United Kingdom,1/25/2020 17:00,,,0,0,0
Washington,US,1/25/2020 17:00,,,1,,
Xinjiang,Mainland China,1/25/2020 17:00,,,3,,
Yunnan,Mainland China,1/25/2020 17:00,,,11,,
Zhejiang,Mainland China,1/25/2020 17:00,,,62,,1
,Japan,1/25/2020 17:00,,,2,,
,Thailand,1/25/2020 17:00,,,6,0,3
,South Korea,1/25/2020 17:00,,,2,,
,Singapore,1/25/2020 17:00,,,3,,
,Vietnam,1/25/2020 17:00,,,2,,
,France,1/25/2020 17:00,,,3,,
,Australia,1/25/2020 17:00,,,4,,
,Nepal,1/25/2020 17:00,,,1,,
,Kiribati,1/25/2020 17:00,,,0,0,0
,Palau,1/25/2020 17:00,,,0,0,0
,Summer Olympics 2020,1/25/2020 17:00,,,0,0,0
,Tonga,1/25/2020 17:00,,,0,0,0
,Winter Olympics 2022,1/25/2020 17:00,,,0,0,0
,Antarctica,1/25/2020 17:00,,,0,0,0
,"Korea, North",1/25/2020 17:00,,,0,0,0
,Nauru,1/25/2020 17:00,,,0,0,0
,Tuvalu,1/25/2020 17:00,,,0,0,0
Anhui,Mainland China,1/26/2020 16:00,,,60,,
Arizona,US,1/26/2020 16:00,,,1,,
Beijing,Mainland China,1/26/2020 16:00,,,68,,2
California,US,1/26/2020 16:00,,,2,,
Chongqing,Mainland China,1/26/2020 16:00,,,75,,
Cook Islands,New Zealand,1/26/2020 16:00,,,0,0,0
England,United Kingdom,1/26/2020 16:00,,,0,0,0
Fujian,Mainland China,1/26/2020 16:00,,,35,,
Gansu,Mainland China,1/26/2020 16:00,,,7,,
Guangdong,Mainland China,1/26/2020 16:00,,,111,,2
Guangxi,Mainland China,1/26/2020 16:00,,,36,,
Guernsey,United Kingdom,1/26/2020 16:00,,,0,0,0
Guizhou,Mainland China,1/26/2020 16:00,,,5,,
Hainan,Mainland China,1/26/2020 16:00,,,22,,
Hebei,Mainland China,1/26/2020 16:00,,,13,1,
Heilongjiang,Mainland China,1/26/2020 16:00,,,15,1,
Henan,Mainland China,1/26/2020 16:00,,,83,1,
Hong Kong,Hong Kong,1/26/2020 16:00,,,8,,
Hubei,Mainland China,1/26/2020 16:00,,,1058,52,42
Hunan,Mainland China,1/26/2020 16:00,,,69,,
Illinois,US,1/26/2020 16:00,,,1,,
Inner Mongolia,Mainland China,1/26/2020 16:00,,,7,,
Jersey,United Kingdom,1/26/2020 16:00,,,0,0,0
Jiangsu,Mainland China,1/26/2020 16:00,,,33,,1
Jiangxi,Mainland China,1/26/2020 16:00,,,36,,
Jilin,Mainland China,1/26/2020 16:00,,,4,,
Johor,Malaysia,1/26/2020 16:00,,,0,0,0
Kedah,Malaysia,1/26/2020 16:00,,,0,0,0
Kelantan,Malaysia,1/26/2020 16:00,,,0,0,0
Liaoning,Mainland China,1/26/2020 16:00,,,21,,
Macau,Macau,1/26/2020 16:00,,,5,,
Melaka,Malaysia,1/26/2020 16:00,,,0,0,0
Negeri Sembilan,Malaysia,1/26/2020 16:00,,,0,0,0
Ningxia,Mainland China,1/26/2020 16:00,,,4,,
Niue,New Zealand,1/26/2020 16:00,,,0,0,0
Northern Ireland,United Kingdom,1/26/2020 16:00,,,0,0,0
Ontario,Canada,1/26/2020 16:00,,,3,,
Pahang,Malaysia,1/26/2020 16:00,,,0,0,0
Perak,Malaysia,1/26/2020 16:00,,,0,0,0
Perlis,Malaysia,1/26/2020 16:00,,,0,0,0
Pitcairn Islands,United Kingdom,1/26/2020 16:00,,,0,0,0
Pulau Pinang,Malaysia,1/26/2020 16:00,,,0,0,0
Qinghai,Mainland China,1/26/2020 16:00,,,1,,
Sabah,Malaysia,1/26/2020 16:00,,,0,0,0
Sarawak,Malaysia,1/26/2020 16:00,,,0,0,0
Scotland,United Kingdom,1/26/2020 16:00,,,0,0,0
Selangor,Malaysia,1/26/2020 16:00,,,0,0,0
Shaanxi,Mainland China,1/26/2020 16:00,,,22,,
Shandong,Mainland China,1/26/2020 16:00,,,46,,
Shanghai,Mainland China,1/26/2020 16:00,,,40,1,1
Shanxi,Mainland China,1/26/2020 16:00,,,9,,
Sichuan,Mainland China,1/26/2020 16:00,,,44,,
Taiwan,Taiwan,1/26/2020 16:00,,,4,,
Terengganu,Malaysia,1/26/2020 16:00,,,0,0,0
Tianjin,Mainland China,1/26/2020 16:00,,,14,,
Unknown,China,1/26/2020 16:00,,,,,
Unknown,Malaysia,1/26/2020 16:00,,,0,0,0
Unknown,Ukraine,1/26/2020 16:00,,,0,0,0
Unknown,United Kingdom,1/26/2020 16:00,,,0,0,0
