Country_Region,Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Population
Seychelles,Seychelles,18546,91,17874,581,76,0,0,0.49,96.38,0.51,18155,391,2.15,Africa,98408
Sierra Leone,Sierra Leone,6296,120,4287,1889,4,0,6,1.91,68.09,2.8,6250,46,0.74,Africa,7992169
Singapore,Singapore,65410,39,63357,2014,95,1,105,0.06,96.86,0.06,64589,821,1.27,Western Pacific,5854932
Slovakia,Slovakia,776716,12541,255300,508875,108,0,0,1.61,32.87,4.91,776229,487,0.06,Europe,5459915
Slovenia,Slovenia,259625,4429,253972,1224,139,0,111,1.71,97.82,1.74,258864,761,0.29,Europe,2078968
Somalia,Somalia,15658,832,7661,7165,64,4,28,5.31,48.93,10.86,15323,335,2.19,Eastern Mediterranean,15933012
South Africa,South Africa,2484009,73415,2258603,151991,13263,423,7895,2.96,90.93,3.25,2408525,75484,3.13,Africa,59381566
South Korea,South Korea,205702,2109,180719,22874,1776,3,1596,1.03,87.85,1.17,195099,10603,5.43,Western Pacific,51273732
South Sudan,South Sudan,11081,120,10514,447,5,0,0,1.08,94.88,1.14,11014,67,0.61,Africa,11206572
Spain,Spain,4545184,81844,150376,4312964,21874,71,0,1.8,3.31,54.43,4395602,149582,3.4,Europe,46756648
Sri Lanka,Sri Lanka,318775,4727,284524,29524,2556,82,1754,1.48,89.26,1.66,301832,16943,5.61,South-East Asia,21422362
Sudan,Sudan,37138,2776,30647,3715,0,0,0,7.47,82.52,9.06,37138,0,0,Eastern Mediterranean,43943536
Suriname,Suriname,25614,657,21978,2979,65,3,65,2.57,85.8,2.99,25118,496,1.97,Americas,587154
Sweden,Sweden,1102829,14657,0,1088172,929,0,0,1.33,0,NaN,1098795,4034,0.37,Europe,10105596
Switzerland,Switzerland,721776,10796,317600,393380,1033,0,0,1.5,44,3.4,716038,5738,0.8,Europe,8660952
Syria,Syria,26044,1919,22019,2106,18,1,8,7.37,84.55,8.72,25930,114,0.44,Eastern Mediterranean,17539600
Taiwan*,Taiwan*,15742,791,12957,1994,21,0,28,5.02,82.31,6.1,15619,123,0.79,Western Pacific,23821199
Tajikistan,Tajikistan,15764,122,14867,775,71,0,79,0.77,94.31,0.82,15245,519,3.4,Europe,9557468
Tanzania,Tanzania,1017,21,183,813,0,0,0,2.06,17.99,11.48,609,408,67,Africa,59886383
Thailand,Thailand,672385,5503,26873,640009,20200,188,0,0.82,4,20.48,543361,129024,23.75,South-East Asia,69817894
Timor-Leste,Timor-Leste,11145,26,10025,1094,45,0,35,0.23,89.95,0.26,10535,610,5.79,South-East Asia,1320812
Togo,Togo,16232,155,14654,1423,179,0,62,0.95,90.28,1.06,15393,839,5.45,Africa,8296582
Trinidad and Tobago,Trinidad and Tobago,39345,1110,32454,5781,183,9,149,2.82,82.49,3.42,38014,1331,3.5,Americas,1399950
Tunisia,Tunisia,602757,20550,530545,51662,5982,324,9210,3.41,88.02,3.87,578962,23795,4.11,Eastern Mediterranean,11830801
Turkey,Turkey,5822487,51767,5478185,292535,26822,122,6096,0.89,94.09,0.94,5660469,162018,2.86,Europe,84428331
US,US,35460627,611219,0,34849408,102405,549,0,1.72,0,NaN,34799007,661620,1.9,Americas,331198130
Uganda,Uganda,94739,2734,86826,5179,202,9,889,2.89,91.65,3.15,93122,1617,1.74,Africa,45867852
Ukraine,Ukraine,2338123,55707,2258433,23983,1520,64,1121,2.38,96.59,2.47,2329044,9079,0.39,Europe,43705858
United Arab Emirates,United Arab Emirates,686981,1965,664130,20886,1519,5,1470,0.29,96.67,0.3,676251,10730,1.59,Eastern Mediterranean,9902079
United Kingdom,United Kingdom,5980830,157209,24693,5798928,29144,94,324,2.63,0.41,636.65,5797332,183498,3.17,Europe,67922029
Uruguay,Uruguay,381994,5979,374203,1812,141,3,159,1.57,97.96,1.6,380976,1018,0.27,Americas,3474956
Uzbekistan,Uzbekistan,132901,901,126377,5623,923,8,805,0.68,95.09,0.71,126627,6274,4.95,Europe,33516027
Vanuatu,Vanuatu,4,1,3,0,0,0,0,25,75,33.33,4,0,0,Western Pacific,326740
Venezuela,Venezuela,309218,3649,294607,10962,766,12,935,1.18,95.27,1.24,302988,6230,2.06,Americas,28427499
Vietnam,Vietnam,181756,2327,54332,125097,7295,256,3501,1.28,29.89,4.28,123640,58116,47,Western Pacific,97425470
Yemen,Yemen,7096,1380,4251,1465,10,0,19,19.45,59.91,32.46,7027,69,0.98,Eastern Mediterranean,29886897
Zambia,Zambia,197791,3430,189658,4703,668,8,317,1.73,95.89,1.81,193432,4359,2.25,Africa,18430129
Zimbabwe,Zimbabwe,113526,3711,82994,26821,1091,35,1424,3.27,73.11,4.47,103567,9959,9.62,Africa,14883803
